rank,frequency,omega,coordinate,n_seed,seed_min,seed_max,A_ref,pass_candidate,failure_reason,low_order_p_max,higher_p_min,higher_significant_count,lower_contribution_sum,higher_contribution_sum,higher_ratio,formal_natural_reference,nearest_formal_peak_frequency,nearest_formal_peak_coordinate,distance_to_nearest_formal_peak,inside_formal_exclusion_band,c1_f_p,c2_2f_p,c3_f_p,c3_3f_p,c4_2f_p,c4_4f_p,c1_f_mean_real,c1_f_mean_imag,c1_f_mean_abs,c2_2f_mean_real,c2_2f_mean_imag,c2_2f_mean_abs,c3_f_mean_real,c3_f_mean_imag,c3_f_mean_abs,c3_3f_mean_real,c3_3f_mean_imag,c3_3f_mean_abs,c4_2f_mean_real,c4_2f_mean_imag,c4_2f_mean_abs,c4_4f_mean_real,c4_4f_mean_imag,c4_4f_mean_abs,R1_c1_f,R2_c2_2f,R3_c3_f,R3_c3_3f,R4_c4_2f,R4_c4_4f,deprecated_score
1,1.0546875,6.62679700366597,z,128,0,127,0.12,False,c1_f_not_significant;c2_2f_not_significant,0.16556110686341372,0.14377730468303926,0,0.10356765301875165,0.10164119657483281,0.9813990528145884,formal_spectrum,1.31982421875,z,0.26513671875,False,0.13564005082236125,0.16556110686341372,0.21297262485266052,0.14377730468303926,0.2484277838938498,0.8054199596200617,-0.06429374938307056,0.29764001134695606,0.30450494669930933,-1.1691716496557814,-4.5054265664649575,4.654656903807953,7.616275490276171,-22.495038715824236,23.749408817278226,-0.29320180432574205,3.153669555617131,3.167269954406511,100.29367023266178,236.50669198721891,256.89343246466063,3.302649803640862,-8.338490192468239,8.968718660732872,0.03654059360391712,0.06702705941483453,0.04103897843625677,0.00547304248121445,0.05326942215587202,0.001859753501489568,-0.06126798336308692
2,0.765625,4.81056375080937,x,128,0,127,0.12,False,c1_f_not_significant;c2_2f_not_significant,0.2068337312773578,0.14170011865184698,0,0.1289271937287479,0.13493085684512163,1.0465663057012236,formal_spectrum,1.31982421875,z,0.55419921875,False,0.16912884171801232,0.2068337312773578,0.436669312425783,0.7883496631021689,0.14170011865184698,0.1870971673677439,-0.026948327287468307,-0.3655728782349701,0.36656478505796597,5.835027461869339,0.8634766952913988,5.898570800124442,2.109770281040811,23.603516412498355,23.697618396662612,-1.3565153688637963,0.6294441055026488,1.49543767102334,-405.4221923449368,-44.642454742626484,407.87265514032975,-1.6930432441979661,-32.84983279700001,32.89343263050517,0.04398777420695592,0.08493941952179196,0.04094948458943299,0.002584116295528331,0.08457647376989877,0.0068207821902615505,-0.1642511527881113
3,0.765625,4.81056375080937,y,128,0,127,0.12,False,c1_f_not_significant;c2_2f_not_significant,0.21307096392082264,0.1463228657895561,0,0.1654841792666688,0.1805043412001625,1.0907649420026402,formal_spectrum,1.31982421875,z,0.55419921875,False,0.16807257642709453,0.21307096392082264,0.43663245154539276,0.8059113709763845,0.1463228657895561,0.20184402521236375,0.149896438164281,-0.3784638342776228,0.4070673359905681,4.887035607737877,6.45929519052722,8.099729093597267,-9.203549228953236,24.621745427556576,26.285655143236756,-2.142256601138851,-1.2998381491648325,2.5057618719956687,-355.43566461191034,-433.6192071744059,560.6782754028113,59.41879662866894,-36.779907706799854,69.88100602967758,0.04884808031886817,0.11663609894780064,0.04542161208751311,0.004329956514808515,0.11626224718752694,0.01449052541031394,-0.16321207222913514
4,3.1484375,19.782216240573227,z,128,0,127,0.12,False,c2_2f_not_significant,0.39608563145948705,0.1941117523631977,0,0.018002778004410285,0.016391031594337416,0.9104723498963312,formal_spectrum,2.6181640625,z,0.5302734375,False,0.028781087500923994,0.39608563145948705,0.1941117523631977,0.7840404396675807,0.34049970210731756,0.4422225771122257,-0.029674845395438583,-0.12507706910869615,0.12854909438057016,0.031000150579228863,0.17624488406431477,0.1789504638015186,5.217469260467705,6.088336980971927,8.018094080128755,0.0033618418795338095,-0.009493547124071279,0.010071217295836163,-1.6246115196297974,-11.53827191233714,11.652084848332592,0.4672951551015517,-0.15646279265952134,0.4927934328582308,0.015425891325668418,0.002576886678741868,0.013855266570462486,1.7403063487204886e-05,0.002416176314150246,0.00010218564623748273,-0.3097372578253971
5,1.015625,6.381360077604267,z,128,0,127,0.12,False,c1_f_not_significant;c2_2f_not_significant,0.4177733144998721,0.09775745388149179,0,0.0858797510092515,0.11409020906128386,1.3284878882449642,formal_spectrum,1.31982421875,z,0.30419921875,False,0.26066874863295286,0.4177733144998721,0.09775745388149179,0.6937604935855264,0.3009896205371335,0.731086602097622,0.002113035370551866,0.2562323948026264,0.25624110728914323,-3.1223912348338905,-2.21547005502613,3.828529037121828,2.2802356009759,-29.22656351007219,29.315379734948703,0.3460400945261881,-2.376170943319538,2.4012355359055797,228.21731093368356,152.14374070971883,274.2824435631048,-10.65874095995444,4.617609556445597,11.61598368056654,0.030748932874697186,0.05513081813455432,0.05065697618199135,0.004149335006044841,0.056875207497245395,0.0024086903760022773,-0.6307908139992819
6,2.8515625,17.91689560250429,x,128,0,127,0.12,False,c1_f_not_significant;c2_2f_not_significant,0.5663681907708062,0.5223793577603417,0,0.004890229738075219,0.005022065891788554,1.026959092062048,formal_spectrum,2.6181640625,z,0.2333984375,False,0.5663681907708062,0.2835166474556586,0.6952449863144987,0.818181424198897,0.5223793577603417,0.8565470337931079,-0.030254559396427703,-0.002776992053251952,0.030381738744446413,0.037248494422614915,0.07797847816473005,0.08641813116261457,1.9626613516906657,1.430424925169202,2.428611753237958,0.0020415335498592327,0.0016284874188993298,0.002611480520454679,-1.6345322835254157,-3.540300114411967,3.8994128642645927,0.049064278741782846,-0.03359078915345515,0.05946128626596674,0.0036458086493335695,0.0012444210887416498,0.004196641109595191,4.512638339345685e-06,0.0008085822515339058,1.2329892320110861e-05,-0.03511284675036444
7,2.8515625,17.91689560250429,y,128,0,127,0.12,False,c1_f_not_significant;c2_2f_not_significant,0.5862973933821806,0.4863832966643419,0,0.012100744137569468,0.01180630525003331,0.9756677040528435,formal_spectrum,2.6181640625,z,0.2333984375,False,0.5862973933821806,0.2624972848404608,0.6997359223371049,0.858821249434844,0.4863832966643419,0.8987982118320645,-0.023232600834262044,-0.056363422244273445,0.06096383443165638,-0.2714041306632581,0.19173269578113972,0.33229750040074324,-0.770845048725799,4.894702361640026,4.955029091558346,-0.00367870431070051,0.013782116236545305,0.014264627347505866,13.057000739769745,-8.058322939056985,15.343462350736866,0.16286794432626145,-0.0812912587322231,0.1820281188040228,0.007315660131798765,0.004785084005770703,0.008562290270212821,2.4649276056490134e-05,0.003181620353048796,3.7745350715202165e-05,-0.08113931134560187
8,1.6640625,10.45561305022853,z,128,0,127,0.12,False,c1_f_not_significant;c2_2f_not_significant,0.6469480198537978,0.06997059557824414,0,0.0364274896501022,0.027451713596677047,0.7535988304535838,formal_spectrum,1.5625,z,0.1015625,False,0.6469480198537978,0.4591619007157186,0.8611323970570397,0.06997059557824414,0.6468495433398358,0.834881301903947,0.12877348538231448,0.04784829732834231,0.13737565320947745,1.384034903416965,-0.048649639869486005,1.384889671178119,-2.2624544728709006,-7.178147652285903,7.526254311397613,-0.5422980447327748,0.4888123015568835,0.7300853617723945,-61.702635770832664,9.073695438106085,62.366234534173586,0.16086164018490784,-1.2069987895693242,1.21767095116242,0.016485078385137294,0.01994241126496491,0.013005367450095074,0.0012615875051426974,0.012932262393006233,0.0002524962484330394,-0.9659538173654583
9,2.0546875,12.909982310845557,x,128,0,127,0.12,False,c1_f_not_significant;c2_2f_not_significant,0.7364111619239586,0.26670662011808777,0,0.01717889127285248,0.019475744948512005,1.1337020905004043,formal_spectrum,1.5625,z,0.4921875,False,0.2169356135429424,0.7364111619239586,0.26670662011808777,0.9662200777250476,0.6777049545060396,0.5605308597552168,0.09420763086507829,0.07012273625318247,0.11744052048949818,0.1253104088829156,-0.1738534734017631,0.21430755653560388,-8.930645495127646,-3.077292994877965,9.44596004310672,0.0012782777241926273,0.009839750575550326,0.009922433437882567,-7.326556748571173,12.795746287087738,14.744814574403891,0.31439170662275906,-0.21084320506552928,0.37854590516273695,0.014092862458739782,0.003086028814112696,0.01632261895448841,1.714596498066107e-05,0.0030574847501483905,7.849527889454513e-05,-0.441086566804489
10,2.0546875,12.909982310845557,y,128,0,127,0.12,False,c1_f_not_significant;c2_2f_not_significant,0.7423161214672286,0.2690333104456712,0,0.03138225008180535,0.03534211840476288,1.1261817846915116,formal_spectrum,1.5625,z,0.4921875,False,0.21736375078485595,0.7423161214672286,0.2690333104456712,0.9713594891651959,0.6611656896692577,0.9878962327108871,0.0028611331252996752,0.19154143201873491,0.19156279978781982,0.5650002033075661,0.14361207326201375,0.5829662574490954,-4.880874561560553,-14.588367618084966,15.383218331873177,-0.029349255359548215,0.018386493506382655,0.03463296022029046,-41.36520189675809,-6.401991208506022,41.85768053049939,0.024020568717644727,-0.09571408091874217,0.09868218181434081,0.022987535974538377,0.008394714107266972,0.026582201277476847,5.98457552606619e-05,0.008679608634804352,2.046273722102171e-05,-0.44078283693014064
