coordinate,frequency,omega,bin,combined_psd
x,0.146484375,0.9203884727313847,75,0.8705876038597894
y,0.146484375,0.9203884727313847,75,0.8705876038597894
z,0.146484375,0.9203884727313847,75,0.8705876038597894
x,0.310546875,1.9512235621905356,159,0.7774103533413318
y,0.310546875,1.9512235621905356,159,0.7774103533413318
z,0.310546875,1.9512235621905356,159,0.7774103533413318
x,0.458984375,2.8838838812250054,235,0.674191573791108
y,0.458984375,2.8838838812250054,235,0.674191573791108
z,0.458984375,2.8838838812250054,235,0.674191573791108
x,0.90234375,5.66959299202533,462,0.6152027852668481
y,0.90234375,5.66959299202533,462,0.6152027852668481
z,0.90234375,5.66959299202533,462,0.6152027852668481
x,1.318359375,8.283496254582463,675,4.214692995185088
y,1.318359375,8.283496254582463,675,4.214692995185088
z,1.318359375,8.283496254582463,675,4.214692995185088
