coordinate,harmonic_index,harmonic_center_frequency,selection_mode,peak_source,peak_rank,target_frequency,target_band_min,target_band_max,tested_frequency,peak_band_position,peak_at_band_edge,nearest_bin,tested_bin,peak_power_method,exclude_bins,background_bins_per_side,background_left_min,background_left_max,background_right_min,background_right_max,n_seed,mean_log_peak_ratio,std_log_peak_ratio,standard_error,t_statistic,degrees_of_freedom,p_value_one_sided,p_value_adjusted,confidence_interval_low,confidence_interval_high,significant,significance_alpha,confidence_level
x,1,1.3203125,harmonic_band_postprocess,target_frequency_band,k1,1.3203125,1.2803125,1.3603125,1.3203125,0.5,False,2704,2704,nearest_bin,3,24,1.267578125,1.27880859375,1.36181640625,1.373046875,96,0.02687117652474785,0.3006309695121693,0.03068301984095921,0.8757670093762129,95,0.19168283861750818,0.19168283861750818,-0.03404231940520877,0.08778467245470448,False,0.05,0.95
y,1,1.3203125,harmonic_band_postprocess,target_frequency_band,k1,1.3203125,1.2803125,1.3603125,1.3203125,0.5,False,2704,2704,nearest_bin,3,24,1.267578125,1.27880859375,1.36181640625,1.373046875,96,0.02292098684780761,0.3013101826925889,0.03075234174590092,0.7453411853054352,95,0.22895280026213666,0.2834363223357601,-0.03813013046349971,0.08397210415911494,False,0.05,0.95
z,1,1.3203125,harmonic_band_postprocess,target_frequency_band,k1,1.3203125,1.2803125,1.3603125,1.3203125,0.5,False,2704,2704,nearest_bin,3,24,1.267578125,1.27880859375,1.36181640625,1.373046875,96,2.3909091131459124,0.2655868629765381,0.02710634569495798,88.20477463292451,95,3.0425675940023868e-93,2.4340540752019094e-92,2.33709621315353,2.4447220131382945,True,0.05,0.95
x,2,2.640625,harmonic_band_postprocess,target_frequency_band,k2,2.640625,2.600625,2.680625,2.61865234375,0.22534179687500025,False,5363,5363,nearest_bin,3,24,2.587890625,2.59912109375,2.68212890625,2.693359375,96,0.04648092304090662,0.32362335851969715,0.033029670717460054,1.4072475453512772,95,0.08130870167222487,0.16261740334444974,-0.019091263896509017,0.11205310997832225,False,0.05,0.95
y,2,2.640625,harmonic_band_postprocess,target_frequency_band,k2,2.640625,2.600625,2.680625,2.61865234375,0.22534179687500025,False,5363,5363,nearest_bin,3,24,2.587890625,2.59912109375,2.68212890625,2.693359375,96,0.03542174774824137,0.32172885522005507,0.032836313784120795,1.078737034282175,95,0.14171816116788005,0.2834363223357601,-0.02976657714322705,0.10061007263970978,False,0.05,0.95
z,2,2.640625,harmonic_band_postprocess,target_frequency_band,k2,2.640625,2.600625,2.680625,2.61865234375,0.22534179687500025,False,5363,5363,nearest_bin,3,24,2.587890625,2.59912109375,2.68212890625,2.693359375,96,1.1074692530732608,0.25113076771014675,0.025630926650136228,43.208318926205294,95,1.4472947487000598e-64,1.0131063240900419e-63,1.0565854302202076,1.158353075926314,True,0.05,0.95
x,3,3.9609375,harmonic_band_postprocess,target_frequency_band,k3,3.9609375,3.9209375,4.0009375,3.92138671875,0.005615234375000439,True,8031,8031,nearest_bin,3,24,3.908203125,3.91943359375,4.00244140625,4.013671875,96,0.10184562397449477,0.29949219320366266,0.030566793970667066,3.33190402867338,95,0.0006149750249184527,0.0025846652883013384,0.041162865570169356,0.1625283823788202,True,0.05,0.95
y,3,3.9609375,harmonic_band_postprocess,target_frequency_band,k3,3.9609375,3.9209375,4.0009375,3.92138671875,0.005615234375000439,True,8031,8031,nearest_bin,3,24,3.908203125,3.91943359375,4.00244140625,4.013671875,96,0.0833166641440994,0.30198241779553303,0.030820951453792603,2.703247635590012,95,0.004067760171366588,0.012203280514099763,0.02212933934134964,0.14450398894684915,True,0.05,0.95
z,3,3.9609375,harmonic_band_postprocess,target_frequency_band,k3,3.9609375,3.9209375,4.0009375,3.92138671875,0.005615234375000439,True,8031,8031,nearest_bin,3,24,3.908203125,3.91943359375,4.00244140625,4.013671875,96,0.6326179524619369,0.3316336488558778,0.03384721755142629,18.690397563721714,95,6.882396302029181e-34,4.129437781217509e-33,0.565422729851974,0.6998131750718998,True,0.05,0.95
x,4,5.28125,harmonic_band_postprocess,target_frequency_band,k4,5.28125,5.24125,5.32125,5.24560546875,0.054443359375000396,False,10743,10743,nearest_bin,3,24,5.228515625,5.23974609375,5.32275390625,5.333984375,96,0.11249477959348907,0.2765140079870784,0.028221592762508935,3.9861244026925764,95,6.58936303074557e-05,0.0003953617818447342,0.056467834241090545,0.16852172494588757,True,0.05,0.95
