coordinate,selection_mode,peak_source,peak_rank,target_frequency,target_band_min,target_band_max,tested_frequency,nearest_bin,tested_bin,peak_power_method,peak_window_bins,exclude_bins,background_bins_per_side,background_left_min,background_left_max,background_right_min,background_right_max,n_seed,mean_log_peak_ratio,std_log_peak_ratio,standard_error,t_statistic,degrees_of_freedom,p_value_one_sided,p_value_adjusted,confidence_interval_low,confidence_interval_high,significant,significance_alpha,confidence_level
x,postprocess_existing_spectrum_run,detected_peak,1,1.3203125,nan,nan,1.3203125,2704,2704,nearest_bin,0,3,24,1.30712890625,1.318359375,1.322265625,1.33349609375,96,0.03404185424333896,0.3013574763667045,0.030757168636302783,1.1067941475978142,95,0.1355888245662758,0.2812185078653338,-0.027018845656982482,0.09510255414366041,False,0.05,0.95
y,postprocess_existing_spectrum_run,detected_peak,1,1.3203125,nan,nan,1.3203125,2704,2704,nearest_bin,0,3,24,1.30712890625,1.318359375,1.322265625,1.33349609375,96,0.03397959990289184,0.3009306604900981,0.030713606923310932,1.1063370052151735,95,0.13568719003264512,0.2827418232112543,-0.02699461906299796,0.09495381886878163,False,0.05,0.95
z,postprocess_existing_spectrum_run,detected_peak,1,1.3203125,nan,nan,1.3203125,2704,2704,nearest_bin,0,3,24,1.30712890625,1.318359375,1.322265625,1.33349609375,96,0.25721212612181016,0.2751222304962269,0.028079545067172383,9.160124407518097,95,5.156536957150671e-15,1.5469610871452014e-14,0.2014671810991247,0.3129570711444956,True,0.05,0.95
x,postprocess_existing_spectrum_run,detected_peak,2,0.08984375,nan,nan,0.08984375,184,184,nearest_bin,0,3,24,0.07666015625,0.087890625,0.091796875,0.10302734375,96,0.03753355312035552,0.2769972537588978,0.02827091382756372,1.3276384820557467,95,0.09373950262177794,0.2812185078653338,-0.018591306925937155,0.09365841316664819,False,0.05,0.95
y,postprocess_existing_spectrum_run,detected_peak,2,0.08984375,nan,nan,0.08984375,184,184,nearest_bin,0,3,24,0.07666015625,0.087890625,0.091796875,0.10302734375,96,0.03744357001810445,0.27697529918536923,0.028268673098286,1.324560579405998,95,0.09424727440375143,0.2827418232112543,-0.018676841618141038,0.09356398165434994,False,0.05,0.95
z,postprocess_existing_spectrum_run,detected_peak,2,0.08984375,nan,nan,0.08984375,184,184,nearest_bin,0,3,24,0.07666015625,0.087890625,0.091796875,0.10302734375,96,-0.017480689753191333,0.2698390922704185,0.02754033702992974,-0.6347304222963581,95,0.7364350279782879,1.0,-0.07215517147884062,0.03719379197245795,False,0.05,0.95
x,postprocess_existing_spectrum_run,detected_peak,3,0.13134765625,nan,nan,0.13134765625,269,269,nearest_bin,0,3,24,0.1181640625,0.12939453125,0.13330078125,0.14453125,96,0.06363223901454204,0.27582781693464126,0.028151558681486666,2.2603451458760104,95,0.013041561666178108,0.05216624666471243,0.007744328891772824,0.11952014913731127,False,0.05,0.95
y,postprocess_existing_spectrum_run,detected_peak,3,0.13134765625,nan,nan,0.13134765625,269,269,nearest_bin,0,3,24,0.1181640625,0.12939453125,0.13330078125,0.14453125,96,0.0635261271787864,0.27583084052556345,0.02815186727544293,2.2565511039546813,95,0.013164205361030563,0.05265682144412225,0.007637604419555834,0.11941464993801698,False,0.05,0.95
z,postprocess_existing_spectrum_run,detected_peak,3,0.13134765625,nan,nan,0.13134765625,269,269,nearest_bin,0,3,24,0.1181640625,0.12939453125,0.13330078125,0.14453125,96,-0.01434155106661325,0.2737445293016757,0.02793893402781099,-0.513317761240904,95,0.6955396058383383,1.0,-0.06980734788230204,0.04112424574907554,False,0.05,0.95
x,postprocess_existing_spectrum_run,target_frequency_band,around_2p63,2.63,2.6,2.66,2.61865234375,5363,5363,nearest_bin,0,3,24,2.5869140625,2.59814453125,2.66162109375,2.6728515625,96,0.026518318101209998,0.3193198247831901,0.03259044314473941,0.81368387608103,95,0.20893042203646656,0.2812185078653338,-0.03818189185669309,0.09121852805911308,False,0.05,0.95
y,postprocess_existing_spectrum_run,target_frequency_band,around_2p63,2.63,2.6,2.66,2.61865234375,5363,5363,nearest_bin,0,3,24,2.5869140625,2.59814453125,2.66162109375,2.6728515625,96,0.02056841067871842,0.31882308915742036,0.032539745277231164,0.6321011582444878,95,0.2644195403434534,0.2827418232112543,-0.04403115128683813,0.08516797264427498,False,0.05,0.95
z,postprocess_existing_spectrum_run,target_frequency_band,around_2p63,2.63,2.6,2.66,2.61865234375,5363,5363,nearest_bin,0,3,24,2.5869140625,2.59814453125,2.66162109375,2.6728515625,96,0.8402834559185322,0.24708728234658853,0.025218240153339153,33.32046371234473,95,1.6557769349355255e-54,6.623107739742102e-54,0.7902189193473799,0.8903479924896844,True,0.05,0.95
