coordinate,rank,frequency,omega,bin,psd_value,prominence,width
x,1,0.064453125,0.4049709280018093,132,113.73256342238847,12.540476790652278,4.569234755696485
x,2,0.16796875,1.055378782065321,344,72.04057493112099,11.781580384623531,19.397121562021027
x,3,0.02490234375,0.1564660403643354,51,125.76517192953592,11.723900384455021,3.5851176384552836
x,4,0.13134765625,0.8252816638824749,269,84.50990673747525,11.596960861126732,4.8221381341164715
x,5,0.21142578125,1.3284273623089653,433,65.87099962219126,10.866694568301405,5.8842945128695305
x,6,0.095703125,0.6013204688511713,196,99.55071235448484,10.469082685068969,3.7480078310359772
x,7,0.26953125,1.6935147898257479,552,56.82679217277137,7.223772305954633,7.169692281700009
x,8,0.330078125,2.073942025221387,676,52.53853865125003,7.130989337539589,18.651410124003405
y,1,0.064453125,0.4049709280018093,132,113.916809445879,12.595273844416312,4.577815592385605
y,2,0.16796875,1.055378782065321,344,72.84304860135593,11.972985250610911,19.509676979013477
y,3,0.02490234375,0.1564660403643354,51,125.79441129875003,11.730922647472795,3.586832798662094
y,4,0.13134765625,0.8252816638824749,269,85.08464139267986,11.692633368631519,4.836342058737472
y,5,0.21142578125,1.3284273623089653,433,67.03347762261609,11.084959221739275,5.900623712331765
y,6,0.095703125,0.6013204688511713,196,99.90951701807938,10.550545242748754,3.768022842333181
y,7,0.59326171875,3.727573314562108,1215,47.91208046581806,8.255176710284395,4.8862768229093945
y,8,0.4384765625,2.7550294950426117,898,50.676409762042745,7.971796159681688,4.453109052733225
z,1,1.32080078125,8.29883606246132,2705,949.175626061951,947.6857206965136,62.035469374700824
z,2,1.56005859375,9.802137234589248,3195,43.60393171925844,33.94288802480989,217.4890173726376
z,3,2.6201171875,16.462681815588702,5366,26.48838239901269,22.84947579105987,118.25130021674886
