coordinate,selection_mode,peak_source,peak_rank,target_frequency,tested_frequency,tested_omega,nearest_bin,tested_bin,peak_power_method,peak_window_bins,exclude_bins,background_bins_per_side,background_left_min,background_left_max,background_right_min,background_right_max,n_seed,mean_log_peak_ratio,std_log_peak_ratio,standard_error,t_statistic,degrees_of_freedom,p_value_one_sided,p_value_adjusted,confidence_interval_low,confidence_interval_high,significant,significance_alpha,confidence_level
x,fixed_contiguous_discovery_test_seed_split,automatic_peak,1,0.064453125,0.064453125,0.4049709280018093,132,132,nearest_bin,0,3,24,0.05126953125,0.0625,0.06640625,0.07763671875,48,-0.01533680204350719,0.29395140610995235,0.0424282308615625,-0.36147635034675546,47,0.6403183175387308,1.0,-0.10069139299359203,0.07001778890657764,False,0.05,0.95
x,fixed_contiguous_discovery_test_seed_split,automatic_peak,2,0.16796875,0.16796875,1.055378782065321,344,344,nearest_bin,0,3,24,0.15478515625,0.166015625,0.169921875,0.18115234375,48,-0.06401351070647464,0.31976631104123576,0.04615429143935777,-1.3869460175893316,47,0.9139994284781787,1.0,-0.15686396867752156,0.028836947264572282,False,0.05,0.95
x,fixed_contiguous_discovery_test_seed_split,automatic_peak,3,0.02490234375,0.02490234375,0.1564660403643354,51,51,nearest_bin,0,3,24,0.01171875,0.02294921875,0.02685546875,0.0380859375,48,-0.03695650293986741,0.2738555024747679,0.03952763701821687,-0.9349535091823344,47,0.8227043557133027,1.0,-0.11647585174141871,0.04256284586168389,False,0.05,0.95
x,fixed_contiguous_discovery_test_seed_split,automatic_peak,4,0.13134765625,0.13134765625,0.8252816638824749,269,269,nearest_bin,0,3,24,0.1181640625,0.12939453125,0.13330078125,0.14453125,48,0.045347232517462206,0.22875997690391903,0.03301865856132256,1.3733820358947324,47,0.08807496965044714,0.7926747268540243,-0.021077740619360553,0.11177220565428497,False,0.05,0.95
x,fixed_contiguous_discovery_test_seed_split,automatic_peak,5,0.21142578125,0.21142578125,1.3284273623089653,433,433,nearest_bin,0,3,24,0.1982421875,0.20947265625,0.21337890625,0.224609375,48,0.002922596316566014,0.2728949600446836,0.039388994660572565,0.07419829680221471,47,0.4705837509154275,1.0,-0.07631784003719323,0.08216303267032525,False,0.05,0.95
x,fixed_contiguous_discovery_test_seed_split,automatic_peak,6,0.095703125,0.095703125,0.6013204688511713,196,196,nearest_bin,0,3,24,0.08251953125,0.09375,0.09765625,0.10888671875,48,-0.07938526487750659,0.2890468242878914,0.04172031545275515,-1.9027963718875502,47,0.9683984419587789,1.0,-0.16331571371940012,0.004545183964386926,False,0.05,0.95
x,fixed_contiguous_discovery_test_seed_split,automatic_peak,7,0.26953125,0.26953125,1.6935147898257479,552,552,nearest_bin,0,3,24,0.25634765625,0.267578125,0.271484375,0.28271484375,48,-0.0527805008041175,0.32749169215737195,0.04726935415610619,-1.1165902675507444,47,0.8650772447121565,1.0,-0.1478741756177968,0.04231317400956179,False,0.05,0.95
x,fixed_contiguous_discovery_test_seed_split,automatic_peak,8,0.330078125,0.330078125,2.073942025221387,676,676,nearest_bin,0,3,24,0.31689453125,0.328125,0.33203125,0.34326171875,48,-0.0505823605095724,0.3030989479361165,0.043748564795502314,-1.1562061691855239,47,0.8732798631396298,1.0,-0.13859312072621616,0.037428399707071354,False,0.05,0.95
y,fixed_contiguous_discovery_test_seed_split,automatic_peak,1,0.064453125,0.064453125,0.4049709280018093,132,132,nearest_bin,0,3,24,0.05126953125,0.0625,0.06640625,0.07763671875,48,-0.015335343118701938,0.2939852278763113,0.042433112613040454,-0.3614003822568772,47,0.6402901142094792,1.0,-0.10069975488601293,0.07002906864860906,False,0.05,0.95
y,fixed_contiguous_discovery_test_seed_split,automatic_peak,2,0.16796875,0.16796875,1.055378782065321,344,344,nearest_bin,0,3,24,0.15478515625,0.166015625,0.169921875,0.18115234375,48,-0.06392247756590703,0.3196219048539282,0.04613344820157911,-1.385599387381562,47,0.913795184578335,1.0,-0.1567310043510773,0.028886049219263243,False,0.05,0.95
y,fixed_contiguous_discovery_test_seed_split,automatic_peak,3,0.02490234375,0.02490234375,0.1564660403643354,51,51,nearest_bin,0,3,24,0.01171875,0.02294921875,0.02685546875,0.0380859375,48,-0.037047938627630915,0.2738710344389593,0.03952987886414361,-0.9372135633139016,47,0.8232800395559445,1.0,-0.11657179744145857,0.042475920186196746,False,0.05,0.95
y,fixed_contiguous_discovery_test_seed_split,automatic_peak,4,0.13134765625,0.13134765625,0.8252816638824749,269,269,nearest_bin,0,3,24,0.1181640625,0.12939453125,0.13330078125,0.14453125,48,0.04524164191026709,0.22873411966705678,0.033014926390656826,1.3703390210517146,47,0.08854559736277626,0.7969103762649863,-0.02117582306762327,0.11165910688815744,False,0.05,0.95
y,fixed_contiguous_discovery_test_seed_split,automatic_peak,5,0.21142578125,0.21142578125,1.3284273623089653,433,433,nearest_bin,0,3,24,0.1982421875,0.20947265625,0.21337890625,0.224609375,48,0.00262634923242643,0.272812980987391,0.03937716200287361,0.0666972706726495,47,0.473552812856044,1.0,-0.07659028288445474,0.08184298134930759,False,0.05,0.95
y,fixed_contiguous_discovery_test_seed_split,automatic_peak,6,0.095703125,0.095703125,0.6013204688511713,196,196,nearest_bin,0,3,24,0.08251953125,0.09375,0.09765625,0.10888671875,48,-0.07952533964815127,0.28903969307343785,0.04171928615060904,-1.9062008722071655,47,0.9686253272454131,1.0,-0.1634537178012166,0.004403038504914053,False,0.05,0.95
y,fixed_contiguous_discovery_test_seed_split,automatic_peak,7,0.59326171875,0.59326171875,3.727573314562108,1215,1215,nearest_bin,0,3,24,0.580078125,0.59130859375,0.59521484375,0.6064453125,48,-0.009738414136998358,0.2842934089238952,0.04103421904276182,-0.2373242226652332,47,0.5932816301966066,1.0,-0.09228861503458374,0.07281178676058703,False,0.05,0.95
y,fixed_contiguous_discovery_test_seed_split,automatic_peak,8,0.4384765625,0.4384765625,2.7550294950426117,898,898,nearest_bin,0,3,24,0.42529296875,0.4365234375,0.4404296875,0.45166015625,48,-0.03248086798720776,0.32497490106180854,0.04690608665197679,-0.6924659528346924,47,0.7539739558893863,1.0,-0.12684374284550842,0.06188200687109292,False,0.05,0.95
